RecordID,ProductID,Name,Color,StandardCost,ListPrice,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,Style,ProductSubCategory,ProductCategory,UpdatedListPrice,UpdatedCost,SpecialOfferID,DiscountDescription,DiscountPct,DiscountType,DiscountCategory,StartDate,EndDate,MinQty,MaxQty,Cluster
1,707,"Sport-100 Helmet, Red",Red,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
2,707,"Sport-100 Helmet, Red",Red,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
3,707,"Sport-100 Helmet, Red",Red,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
4,707,"Sport-100 Helmet, Red",Red,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,8,Sport Helmet Discount-2002,0.1,Seasonal Discount,Reseller,2012-05-30 00:00:00.000,2012-06-29 00:00:00.000,0,99999999.0,2
5,707,"Sport-100 Helmet, Red",Red,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,11,Sport Helmet Discount-2003,0.15,Seasonal Discount,Reseller,2013-05-30 00:00:00.000,2013-06-29 00:00:00.000,0,99999999.0,2
6,708,"Sport-100 Helmet, Black",Black,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
7,708,"Sport-100 Helmet, Black",Black,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
8,708,"Sport-100 Helmet, Black",Black,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
9,708,"Sport-100 Helmet, Black",Black,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,8,Sport Helmet Discount-2002,0.1,Seasonal Discount,Reseller,2012-05-30 00:00:00.000,2012-06-29 00:00:00.000,0,99999999.0,2
10,708,"Sport-100 Helmet, Black",Black,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,11,Sport Helmet Discount-2003,0.15,Seasonal Discount,Reseller,2013-05-30 00:00:00.000,2013-06-29 00:00:00.000,0,99999999.0,2
